source,latin_name,english_name,french_name,year,month,number_otoliths
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1961,11,63
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1962,2,64
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1962,5,59
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1962,6,320
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1962,7,340
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1962,8,251
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1962,9,278
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1962,10,177
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1962,11,64
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,1,62
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,2,66
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,5,71
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,6,148
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,7,379
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,8,126
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,9,259
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,10,41
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1963,11,69
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1964,2,59
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1964,5,65
Commercial,Gadus morhua,Atlantic Cod,Morue franche,1964,6,238
